fips,county_name,median_hh_income_2003,poverty_count_2003,poverty_rate_pct_2003,median_hh_income_2004,poverty_count_2004,poverty_rate_pct_2004,median_home_value_2000,population_2003,population_2004
01001,Autauga County,44241.0,4926,10.4,45379.0,5627.0,11.6,94800.0,46800.0,48366.0
01003,Baldwin County,41961.0,15753,10.1,42227.0,16089.0,10.0,122500.0,151509.0,156266.0
01005,Barbour County,26062.0,5717,22.2,26495.0,6109.0,23.9,68600.0,28594.0,28287.0
01007,Bibb County,32924.0,3383,16.8,34055.0,3476.0,17.1,74600.0,21399.0,21721.0
01009,Blount County,37758.0,6503,11.9,38643.0,6844.0,12.4,86800.0,53457.0,54124.0
01011,Bullock County,20903.0,2569,26.5,20485.0,2887.0,30.3,56600.0,11316.0,11056.0
01013,Butler County,26951.0,4118,20.0,27244.0,4310.0,21.0,57700.0,20833.0,20870.0
01015,Calhoun County,33137.0,18095,16.4,34813.0,18663.0,16.9,71600.0,112705.0,113462.0
01017,Chambers County,30844.0,5725,16.3,30573.0,6030.0,17.2,58900.0,35680.0,35463.0
01019,Cherokee County,32158.0,3699,15.3,33564.0,3914.0,16.1,76100.0,24591.0,24887.0
01021,Chilton County,34201.0,6159,14.9,35507.0,6137.0,14.8,81800.0,41079.0,41534.0
01023,Choctaw County,26829.0,2848,18.8,27690.0,2968.0,20.2,60500.0,15199.0,14930.0
01025,Clarke County,28644.0,5224,19.2,28776.0,5633.0,20.9,67900.0,27090.0,26958.0
01027,Clay County,29456.0,1947,14.0,31194.0,1913.0,13.9,62200.0,14203.0,14121.0
01029,Cleburne County,32834.0,2008,14.0,34128.0,2116.0,14.7,71300.0,14438.0,14339.0
01031,Coffee County,35739.0,6091,13.7,37066.0,6374.0,14.2,76600.0,44315.0,45053.0
01033,Colbert County,33550.0,7628,14.0,34575.0,7963.0,14.7,72300.0,54279.0,54380.0
01035,Conecuh County,23726.0,2966,22.1,24334.0,3044.0,23.1,58600.0,13585.0,13430.0
01037,Coosa County,29801.0,1523,13.5,30173.0,1553.0,14.0,59500.0,11732.0,11560.0
01039,Covington County,28670.0,6406,17.5,29237.0,6834.0,18.7,56700.0,36860.0,36806.0
01041,Crenshaw County,28358.0,2372,17.6,28909.0,2527.0,18.6,51300.0,13652.0,13727.0
01043,Cullman County,34056.0,10445,13.3,35150.0,10883.0,13.8,85000.0,77657.0,78131.0
01045,Dale County,32774.0,7499,15.7,34065.0,7884.0,16.7,69000.0,49215.0,49245.0
01047,Dallas County,24456.0,11221,25.2,24949.0,12053.0,27.4,64100.0,45170.0,44795.0
01049,DeKalb County,31310.0,10055,15.1,32286.0,10523.0,15.8,67200.0,66530.0,67260.0
01051,Elmore County,42687.0,8233,12.4,43645.0,8516.0,12.5,98000.0,69935.0,71018.0
01053,Escambia County,28608.0,6790,18.7,29330.0,7243.0,20.1,66700.0,37796.0,37713.0
01055,Etowah County,31512.0,16034,15.7,32727.0,16432.0,16.1,71200.0,103025.0,103080.0
01057,Fayette County,30216.0,2893,16.1,30595.0,3133.0,17.4,64100.0,18178.0,18022.0
01059,Franklin County,28277.0,5312,17.4,29234.0,5427.0,17.8,62800.0,30874.0,30768.0
01061,Geneva County,28040.0,4482,17.6,28787.0,4631.0,18.1,55900.0,25702.0,25772.0
01063,Greene County,21963.0,2429,25.1,22439.0,2544.0,26.5,57000.0,9805.0,9686.0
01065,Hale County,26138.0,3557,20.8,26841.0,3770.0,22.0,66300.0,17116.0,16765.0
01067,Henry County,31504.0,2700,16.3,32441.0,2825.0,17.1,69100.0,16563.0,16692.0
01069,Houston County,35866.0,14098,15.3,36616.0,14749.0,15.8,82000.0,91321.0,92593.0
01071,Jackson County,33128.0,7713,14.4,33733.0,8161.0,15.3,72400.0,53711.0,53525.0
01073,Jefferson County,38305.0,93624,14.5,38520.0,99413.0,15.4,90700.0,657513.0,656023.0
01075,Lamar County,28913.0,2386,16.1,29337.0,2492.0,16.8,55200.0,15258.0,15075.0
01077,Lauderdale County,34422.0,13455,15.6,35166.0,13988.0,16.2,85000.0,88103.0,88732.0
01079,Lawrence County,34195.0,4928,14.4,34998.0,5067.0,14.7,75000.0,34488.0,34318.0
01081,Lee County,33550.0,17707,15.2,34660.0,19031.0,16.0,104100.0,120071.0,122274.0
01083,Limestone County,40901.0,7927,11.9,41830.0,8657.0,12.7,86400.0,68578.0,69593.0
01085,Lowndes County,24090.0,3109,23.5,24967.0,3332.0,25.5,55500.0,12996.0,12623.0
01087,Macon County,22594.0,5421,26.0,23378.0,5786.0,28.3,64200.0,23110.0,22685.0
01089,Madison County,48719.0,31157,10.9,49441.0,34058.0,11.7,103300.0,291342.0,295655.0
01091,Marengo County,28815.0,4442,20.2,29138.0,4637.0,21.3,65900.0,22025.0,21777.0
01093,Marion County,27227.0,4939,16.8,28781.0,5237.0,17.9,63500.0,30554.0,30516.0
01095,Marshall County,33756.0,12811,15.2,34855.0,13378.0,15.8,80900.0,84348.0,85131.0
01097,Mobile County,32850.0,73097,18.5,33191.0,79110.0,20.0,80500.0,398082.0,397959.0
01099,Monroe County,29027.0,4196,17.8,30228.0,4366.0,18.5,66900.0,23853.0,23769.0
01101,Montgomery County,35592.0,38173,18.0,35680.0,40905.0,19.4,87700.0,222680.0,223002.0
01103,Morgan County,39965.0,14792,13.2,40978.0,15741.0,14.0,88600.0,112898.0,113006.0
01105,Perry County,20630.0,3149,28.7,21640.0,3285.0,30.4,47600.0,11301.0,11153.0
01107,Pickens County,26895.0,3940,19.5,27737.0,4161.0,20.8,66000.0,20527.0,20380.0
01109,Pike County,26615.0,5830,20.4,28077.0,6155.0,21.4,71400.0,30050.0,30593.0
01111,Randolph County,29435.0,3458,15.7,30973.0,3575.0,16.1,63800.0,22359.0,22525.0
01113,Russell County,28547.0,9058,18.6,29680.0,9455.0,19.4,71500.0,49065.0,49498.0
01115,St. Clair County,38713.0,8994,13.1,41086.0,9264.0,13.1,99800.0,68629.0,70416.0
01117,Shelby County,60894.0,11262,6.8,61972.0,11854.0,7.0,146700.0,159704.0,165757.0
01119,Sumter County,20627.0,3711,26.6,21189.0,3858.0,28.3,54000.0,14329.0,14324.0
01121,Talladega County,33191.0,12994,16.8,34418.0,13778.0,17.8,72200.0,80900.0,81139.0
01123,Tallapoosa County,30626.0,6403,16.1,31464.0,6763.0,17.1,73600.0,40898.0,40904.0
01125,Tuscaloosa County,35268.0,26368,16.5,36598.0,27862.0,17.2,106600.0,169725.0,171960.0
01127,Walker County,31298.0,10263,14.8,32634.0,11206.0,16.2,66700.0,69105.0,68629.0
01129,Washington County,31198.0,3027,16.9,32147.0,3214.0,18.1,63000.0,17910.0,17801.0
01131,Wilcox County,19633.0,3612,28.1,19682.0,3904.0,30.4,52200.0,12600.0,12493.0
01133,Winston County,27430.0,4097,16.9,28764.0,4168.0,17.2,60800.0,24576.0,24614.0
02013,Aleutians East Borough,39239.0,321,11.9,39828.0,346.0,12.7,99500.0,2732.0,2727.0
