pair-key,Total migration flow,county1,county2,County1 name,County2 name,state1,state2,State1 name,State2 name,County pairs
06037-06071,67982,06037,06071,LOS ANGELES,SAN BERNARDINO,06,06,CALIFORNIA,CALIFORNIA,LOS ANGELES-SAN BERNARDINO
06037-06059,63896,06037,06059,LOS ANGELES,ORANGE,06,06,CALIFORNIA,CALIFORNIA,LOS ANGELES-ORANGE
12011-12086,43204,12011,12086,BROWARD,MIAMI-DADE,12,12,FLORIDA,FLORIDA,BROWARD-MIAMI-DADE
17031-17043,42666,17031,17043,COOK,DU PAGE,17,17,ILLINOIS,ILLINOIS,COOK-DU PAGE
48157-48201,39315,48157,48201,FORT BEND,HARRIS,48,48,TEXAS,TEXAS,FORT BEND-HARRIS
06059-06065,36482,06059,06065,ORANGE,RIVERSIDE,06,06,CALIFORNIA,CALIFORNIA,ORANGE-RIVERSIDE
06065-06071,35926,06065,06071,RIVERSIDE,SAN BERNARDINO,06,06,CALIFORNIA,CALIFORNIA,RIVERSIDE-SAN BERNARDINO
36047-36081,35733,36047,36081,KINGS,QUEENS,36,36,NEW YORK,NEW YORK,KINGS-QUEENS
48085-48113,33783,48085,48113,COLLIN,DALLAS,48,48,TEXAS,TEXAS,COLLIN-DALLAS
48113-48439,32092,48113,48439,DALLAS,TARRANT,48,48,TEXAS,TEXAS,DALLAS-TARRANT
06037-06065,30332,06037,06065,LOS ANGELES,RIVERSIDE,06,06,CALIFORNIA,CALIFORNIA,LOS ANGELES-RIVERSIDE
24005-24510,28551,24005,24510,BALTIMORE,BALTIMORE CITY,24,24,MARYLAND,MARYLAND,BALTIMORE-BALTIMORE CITY
17031-17197,27991,17031,17197,COOK,WILL,17,17,ILLINOIS,ILLINOIS,COOK-WILL
06065-06073,27979,06065,06073,RIVERSIDE,SAN DIEGO,06,06,CALIFORNIA,CALIFORNIA,RIVERSIDE-SAN DIEGO
26125-26163,27728,26125,26163,OAKLAND,WAYNE,26,26,MICHIGAN,MICHIGAN,OAKLAND-WAYNE
36005-36061,26782,36005,36061,BRONX,NEW YORK,36,36,NEW YORK,NEW YORK,BRONX-NEW YORK
53033-53061,26423,53033,53061,KING,SNOHOMISH,53,53,WASHINGTON,WASHINGTON,KING-SNOHOMISH
29189-29510,26361,29189,29510,ST LOUIS,ST LOUIS,29,29,MISSOURI,MISSOURI,ST LOUIS-ST LOUIS
13089-13121,26162,13089,13121,DE KALB,FULTON,13,13,GEORGIA,GEORGIA,DE KALB-FULTON
08005-08031,26076,08005,08031,ARAPAHOE,DENVER,08,08,COLORADO,COLORADO,ARAPAHOE-DENVER
06001-06013,24642,06001,06013,ALAMEDA,CONTRA COSTA,06,06,CALIFORNIA,CALIFORNIA,ALAMEDA-CONTRA COSTA
12011-12099,23863,12011,12099,BROWARD,PALM BEACH,12,12,FLORIDA,FLORIDA,BROWARD-PALM BEACH
36059-36081,23848,36059,36081,NASSAU,QUEENS,36,36,NEW YORK,NEW YORK,NASSAU-QUEENS
17031-17097,23593,17031,17097,COOK,LAKE,17,17,ILLINOIS,ILLINOIS,COOK-LAKE
36047-36061,23225,36047,36061,KINGS,NEW YORK,36,36,NEW YORK,NEW YORK,KINGS-NEW YORK
25017-25025,22872,25017,25025,MIDDLESEX,SUFFOLK,25,25,MASSACHUSETTS,MASSACHUSETTS,MIDDLESEX-SUFFOLK
12095-12117,22726,12095,12117,ORANGE,SEMINOLE,12,12,FLORIDA,FLORIDA,ORANGE-SEMINOLE
53033-53053,21111,53033,53053,KING,PIERCE,53,53,WASHINGTON,WASHINGTON,KING-PIERCE
48113-48121,21023,48113,48121,DALLAS,DENTON,48,48,TEXAS,TEXAS,DALLAS-DENTON
48453-48491,20841,48453,48491,TRAVIS,WILLIAMSON,48,48,TEXAS,TEXAS,TRAVIS-WILLIAMSON
36059-36103,20260,36059,36103,NASSAU,SUFFOLK,36,36,NEW YORK,NEW YORK,NASSAU-SUFFOLK
48201-48339,19747,48201,48339,HARRIS,MONTGOMERY,48,48,TEXAS,TEXAS,HARRIS-MONTGOMERY
13089-13135,19682,13089,13135,DE KALB,GWINNETT,13,13,GEORGIA,GEORGIA,DE KALB-GWINNETT
11001-24033,18590,11001,24033,"WASHINGTON, DC",PRINCE GEORGE'S,11,24,DISTRICT OF COLUMBIA,MARYLAND,"WASHINGTON, DC-PRINCE GEORGE'S"
51059-51153,18560,51059,51153,FAIRFAX,PRINCE WILLIAM,51,51,VIRGINIA,VIRGINIA,FAIRFAX-PRINCE WILLIAM
06075-06081,17586,06075,06081,SAN FRANCISCO,SAN MATEO,06,06,CALIFORNIA,CALIFORNIA,SAN FRANCISCO-SAN MATEO
06037-06111,17354,06037,06111,LOS ANGELES,VENTURA,06,06,CALIFORNIA,CALIFORNIA,LOS ANGELES-VENTURA
26099-26125,17246,26099,26125,MACOMB,OAKLAND,26,26,MICHIGAN,MICHIGAN,MACOMB-OAKLAND
24031-24033,17192,24031,24033,MONTGOMERY,PRINCE GEORGE'S,24,24,MARYLAND,MARYLAND,MONTGOMERY-PRINCE GEORGE'S
06037-06073,17001,06037,06073,LOS ANGELES,SAN DIEGO,06,06,CALIFORNIA,CALIFORNIA,LOS ANGELES-SAN DIEGO
06001-06085,16864,06001,06085,ALAMEDA,SANTA CLARA,06,06,CALIFORNIA,CALIFORNIA,ALAMEDA-SANTA CLARA
36061-36081,16791,36061,36081,NEW YORK,QUEENS,36,36,NEW YORK,NEW YORK,NEW YORK-QUEENS
51059-51107,16630,51059,51107,FAIRFAX,LOUDOUN,51,51,VIRGINIA,VIRGINIA,FAIRFAX-LOUDOUN
41005-41051,16422,41005,41051,CLACKAMAS,MULTNOMAH,41,41,OREGON,OREGON,CLACKAMAS-MULTNOMAH
08031-08059,15845,08031,08059,DENVER,JEFFERSON,08,08,COLORADO,COLORADO,DENVER-JEFFERSON
06037-32003,15352,06037,32003,LOS ANGELES,CLARK,06,32,CALIFORNIA,NEVADA,LOS ANGELES-CLARK
27053-27123,15161,27053,27123,HENNEPIN,RAMSEY,27,27,MINNESOTA,MINNESOTA,HENNEPIN-RAMSEY
25021-25025,14934,25021,25025,NORFOLK,SUFFOLK,25,25,MASSACHUSETTS,MASSACHUSETTS,NORFOLK-SUFFOLK
06061-06067,14610,06061,06067,PLACER,SACRAMENTO,06,06,CALIFORNIA,CALIFORNIA,PLACER-SACRAMENTO
22051-22071,14586,22051,22071,JEFFERSON,ORLEANS,22,22,LOUISIANA,LOUISIANA,JEFFERSON-ORLEANS
06059-06071,14345,06059,06071,ORANGE,SAN BERNARDINO,06,06,CALIFORNIA,CALIFORNIA,ORANGE-SAN BERNARDINO
13067-13121,14195,13067,13121,COBB,FULTON,13,13,GEORGIA,GEORGIA,COBB-FULTON
26099-26163,13929,26099,26163,MACOMB,WAYNE,26,26,MICHIGAN,MICHIGAN,MACOMB-WAYNE
55079-55133,13925,55079,55133,MILWAUKEE,WAUKESHA,55,55,WISCONSIN,WISCONSIN,MILWAUKEE-WAUKESHA
